Ward_Number,Zone,Zone_Chairperson,Councillor_Name,Address,Contact,Party,Committee,Sewerage_Stations,Street_Lights_Count,Water_Supply_Scheme
28,NORTH - ZONE II,Tmt. M. Vanitha,Not Available,Not Available,Not Available,Not Available,Not Available,"Mundiri Thoppu, Thathaneri, K.K.Nagar, Anna Nagar, Anna Nagar Uzhvar Sandhai-New",8980.0,Scheme I (23 MLD) - Seasonal
29,SOUTH - ZONE IV,Dr. C. Mohan,Not Available,Not Available,Not Available,Not Available,Not Available,"Santhapettai, Thavittusandhai, Melavasal, West Marret-Canara Bank, Sunday Market, Karukagapillai Kara Lane, Thaikkal, Puttuthoppu, Arapalayam-New",5608.0,Vaigai Water Supply Scheme (68 MLD)
30,SOUTH - ZONE IV,Dr. C. Mohan,Not Available,Not Available,Not Available,Not Available,Not Available,"Santhapettai, Thavittusandhai, Melavasal, West Marret-Canara Bank, Sunday Market, Karukagapillai Kara Lane, Thaikkal, Puttuthoppu, Arapalayam-New",5608.0,Vaigai Water Supply Scheme (68 MLD)
31,NORTH - ZONE II,Tmt. M. Vanitha,Not Available,Not Available,Not Available,Not Available,Not Available,"Mundiri Thoppu, Thathaneri, K.K.Nagar, Anna Nagar, Anna Nagar Uzhvar Sandhai-New",8980.0,Scheme I (23 MLD) - Seasonal
32,NORTH - ZONE II,Tmt. M. Vanitha,Not Available,Not Available,Not Available,Not Available,Not Available,"Mundiri Thoppu, Thathaneri, K.K.Nagar, Anna Nagar, Anna Nagar Uzhvar Sandhai-New",8980.0,Scheme I (23 MLD) - Seasonal
33,NORTH - ZONE II,Tmt. M. Vanitha,Not Available,Not Available,Not Available,Not Available,Not Available,"Mundiri Thoppu, Thathaneri, K.K.Nagar, Anna Nagar, Anna Nagar Uzhvar Sandhai-New",8980.0,Scheme I (23 MLD) - Seasonal
34,NORTH - ZONE II,Tmt. M. Vanitha,Not Available,Not Available,Not Available,Not Available,Not Available,"Mundiri Thoppu, Thathaneri, K.K.Nagar, Anna Nagar, Anna Nagar Uzhvar Sandhai-New",8980.0,Scheme I (23 MLD) - Seasonal
35,NORTH - ZONE II,Tmt. M. Vanitha,Not Available,Not Available,Not Available,Not Available,Not Available,"Mundiri Thoppu, Thathaneri, K.K.Nagar, Anna Nagar, Anna Nagar Uzhvar Sandhai-New",8980.0,Scheme I (23 MLD) - Seasonal
36,EAST - ZONE I,Smt. O. Lakshmi,Not Available,Not Available,Not Available,Not Available,Not Available,Part of North Zone network,4067.0,Mixed - North and South Zone
37,EAST - ZONE I,Smt. O. Lakshmi,Not Available,Not Available,Not Available,Not Available,Not Available,Part of North Zone network,4067.0,Mixed - North and South Zone
